playlist_name,collaborative,pid,num_tracks,num_albums,num_artists,pos,track_uri,artist_uri,track_name,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature
gym,False,55346,97,67,41,32.0,spotify:track:42SDMQsfHin20j30XUhB4A,spotify:artist:34OLInsXImlQpjzmQw9Wd3,2 Caras 2 Corazones,Caramelos de Cianuro,0.511,0.846,2.0,-6.967,1.0,0.0607,0.298,0.000742,0.385,0.619,174.946,audio_features,42SDMQsfHin20j30XUhB4A,https://api.spotify.com/v1/tracks/42SDMQsfHin20j30XUhB4A,https://api.spotify.com/v1/audio-analysis/42SDMQsfHin20j30XUhB4A,199480.0,4.0
Music ,False,923899,241,185,144,225.0,spotify:track:2FviG1Ma0M0BSZbqaDvw0x,spotify:artist:2kucQ9jQwuD8jWdtR9Ef38,House Party,Montevallo,0.752,0.853,8.0,-5.222,1.0,0.0491,0.133,0.0,0.0238,0.859,104.003,audio_features,2FviG1Ma0M0BSZbqaDvw0x,https://api.spotify.com/v1/tracks/2FviG1Ma0M0BSZbqaDvw0x,https://api.spotify.com/v1/audio-analysis/2FviG1Ma0M0BSZbqaDvw0x,190240.0,4.0
Gaming playlist,False,194299,86,72,49,21.0,spotify:track:4jdjBlQOB9Fik1Mgk0aOa8,spotify:artist:4XU5f8nGiPMr6eetud6epC,Final Boss,Final Boss,0.592,0.985,10.0,-2.859,1.0,0.0546,0.00522,0.0389,0.4,0.459,129.936,audio_features,4jdjBlQOB9Fik1Mgk0aOa8,https://api.spotify.com/v1/tracks/4jdjBlQOB9Fik1Mgk0aOa8,https://api.spotify.com/v1/audio-analysis/4jdjBlQOB9Fik1Mgk0aOa8,316651.0,4.0
Throwbacks,False,335626,93,75,56,71.0,spotify:track:4RCWB3V8V0dignt99LZ8vH,spotify:artist:1g1yxsNVPhMUl9GrMjEb2o,Hey There Delilah,All That We Needed,0.656,0.291,2.0,-10.572,1.0,0.0293,0.872,0.0,0.114,0.298,103.971,audio_features,4RCWB3V8V0dignt99LZ8vH,https://api.spotify.com/v1/tracks/4RCWB3V8V0dignt99LZ8vH,https://api.spotify.com/v1/audio-analysis/4RCWB3V8V0dignt99LZ8vH,232533.0,4.0
Us,True,699063,70,65,58,54.0,spotify:track:41yIvlFgvGwxq8qTqAR7eG,spotify:artist:79hrYiudVcFyyxyJW0ipTy,Bloom - Bonus Track,Woodland - EP,0.592,0.416,1.0,-9.794,1.0,0.0246,0.882,0.000586,0.112,0.417,96.002,audio_features,41yIvlFgvGwxq8qTqAR7eG,https://api.spotify.com/v1/tracks/41yIvlFgvGwxq8qTqAR7eG,https://api.spotify.com/v1/audio-analysis/41yIvlFgvGwxq8qTqAR7eG,210080.0,4.0
Memories,False,391902,119,102,64,49.0,spotify:track:60F6ntlU0uSzgChmyQyVJP,spotify:artist:4salDzkGmfycRqNUbyBphh,Blue Collar Man (Long Nights),Pieces Of Eight,0.445,0.598,2.0,-11.264,0.0,0.0363,0.0112,0.0,0.057,0.778,124.25,audio_features,60F6ntlU0uSzgChmyQyVJP,https://api.spotify.com/v1/tracks/60F6ntlU0uSzgChmyQyVJP,https://api.spotify.com/v1/audio-analysis/60F6ntlU0uSzgChmyQyVJP,247373.0,4.0
Country,False,755787,101,66,38,76.0,spotify:track:3cE5ltZFHmBpiS77itKaOM,spotify:artist:3grHWM9bx2E9vwJCdlRv9O,Summertime,The Road And The Radio,0.48,0.928,4.0,-5.501,1.0,0.0899,0.169,0.0,0.0479,0.713,167.986,audio_features,3cE5ltZFHmBpiS77itKaOM,https://api.spotify.com/v1/tracks/3cE5ltZFHmBpiS77itKaOM,https://api.spotify.com/v1/audio-analysis/3cE5ltZFHmBpiS77itKaOM,206587.0,4.0
dad jams,False,138328,96,92,77,7.0,spotify:track:2SiXAy7TuUkycRVbbWDEpo,spotify:artist:711MCceyCBcFnzjGY4Q7Un,You Shook Me All Night Long,Back In Black,0.532,0.767,7.0,-5.509,1.0,0.0574,0.00287,0.000513,0.39,0.755,127.361,audio_features,2SiXAy7TuUkycRVbbWDEpo,https://api.spotify.com/v1/tracks/2SiXAy7TuUkycRVbbWDEpo,https://api.spotify.com/v1/audio-analysis/2SiXAy7TuUkycRVbbWDEpo,210173.0,4.0
Football,False,543513,178,133,91,116.0,spotify:track:5nOak3YVVbcw6UJ2kBJHrk,spotify:artist:6UBA15slIuadJ8h2lPRPos,A Real 1,E.B.A.H.,0.671,0.848,5.0,-4.745,1.0,0.21,0.245,0.0,0.404,0.536,160.182,audio_features,5nOak3YVVbcw6UJ2kBJHrk,https://api.spotify.com/v1/tracks/5nOak3YVVbcw6UJ2kBJHrk,https://api.spotify.com/v1/audio-analysis/5nOak3YVVbcw6UJ2kBJHrk,299187.0,4.0
smr,False,903660,115,59,31,48.0,spotify:track:1excJvK9w9WrDaBeE8uBYz,spotify:artist:5eyMzR1hYiEZtN2c9ly2kw,King Without a Crown,Playlist: The Very Best Of Matisyahu,0.716,0.879,5.0,-4.462,0.0,0.182,0.0345,0.0,0.121,0.713,93.966,audio_features,1excJvK9w9WrDaBeE8uBYz,https://api.spotify.com/v1/tracks/1excJvK9w9WrDaBeE8uBYz,https://api.spotify.com/v1/audio-analysis/1excJvK9w9WrDaBeE8uBYz,219933.0,4.0
